"", "Model War", "Model Other", "Model War Retrained"
"Levensthein Distance (Char.)", "19", "50", "13"
"Levensthein Distance (Words)", "18", "38", "13"
"Word Error Rate (WER in %)", "6.545", "13.818", "4.727"
"Char. Error Rate (CER in %)", "1.172", "3.086", "0.802"
"Word Accuracy (Wacc in %)", "93.454", "86.181", "95.272"
"Hits", "1603", "1574", "1607"
"Substitutions", "14", "41", "11"
"Deletions", "3", "5", "2"
"Insertions", "2", "4", "0"
"Total char. in reference", "1620", "1620", "1620"
"Total char. in prediction", "1619", "1619", "1618"