"tokens","occurrences"
"en","2096"
"ch","1745"
"er","1500"
"de","1293"
"un","1194"
"ge","1174"
"te","1000"
"ei","941"
"be","909"
"di","796"
"in","779"
"da","628"
"au","592"
"sc","571"
"se","560"
"ss","549"
"ne","536"
"es","522"
"ha","520"
"st","515"
"re","503"
"zu","502"
"an","502"
"wi","495"
"he","494"
"wa","465"
"ic","458"
"nn","429"
"ni","418"
"si","409"
"ng","405"
"le","400"
"mi","389"
"rd","386"
"nd","375"
"hr","361"
"me","354"
"is","352"
"vo","342"
"al","330"
"rt","329"
"we","321"
"it","305"
"li","298"
"so","295"
"na","287"
"el","275"
"ie","268"
"tt","267"
"ll","247"
"ve","241"
"ma","238"
"hi","229"
"wu","218"
"et","208"
"Di","200"
"nt","192"
"ns","192"
"ra","190"
"ka","189"
"im","186"
"Ge","180"
"rs","179"
"ht","175"
"ab","173"
"hl","164"
"lt","160"
"ck","159"
"ri","159"
"no","155"
"Ta","154"
"Au","153"
"wo","150"
"us","149"
"Be","147"
"ko","147"
"mm","143"
"la","140"
"ig","138"
"Wi","136"
"Ma","135"
"ke","134"
"ut","134"
"tz","131"
"ih","124"
"sa","124"
"eh","121"
"ga","121"
"ld","120"
"Fr","120"
"tr","118"
"ho","118"
"Le","114"
"fa","114"
"Sc","112"
"nu","112"
"or","107"
"Ic","107"
"je","105"
"Da","105"
"De","104"
"ar","104"
"fü","103"
"um","103"
"do","103"
"St","102"
"Ha","102"
"du","101"
"rg","101"
"Si","100"
"bi","100"
"ts","100"
"em","100"
"fe","97"
"am","97"
"La","96"
"hn","94"
"vi","93"
"rc","92"
"eb","92"
"ue","91"
"rn","91"
"ed","91"
"nz","90"
"ag","90"
"Ve","89"
"os","89"
"mu","89"
"sp","89"
"ti","88"
"ru","88"
"gl","87"
"br","87"
"ze","86"
"ac","85"
"Gr","84"
"ec","82"
"rl","80"
"Ju","77"
"Na","77"
"il","76"
"at","76"
"fu","76"
"on","73"
"Me","73"
"fr","73"
"ta","73"
"An","72"
"rk","71"
"Br","70"
"gi","70"
"as","69"
"Ar","69"
"rh","68"
"gr","68"
"Wo","68"
"üb","67"
"zw","66"
"fo","66"
"nk","65"
"Es","65"
"gt","65"
"su","64"
"ft","63"
"Du","63"
"In","62"
"hw","62"
"We","61"
"kl","60"
"rz","60"
"eg","60"
"Ko","59"
"ae","59"
"rb","58"
"Re","56"
"ef","56"
"af","56"
"ff","56"
"tu","55"
"gu","55"
"rf","55"
"rr","54"
"Un","54"
"eu","54"
"uc","53"
"bl","53"
"Ze","53"
"Er","52"
"to","52"
"sg","52"
"Ih","51"
"Ei","50"
"Tr","50"
"Wa","50"
"uf","49"
"Kr","49"
"Vi","49"
"Zu","48"
"He","48"
"tl","48"
"pa","48"
"rm","47"
"ot","47"
"zi","45"
"Po","45"
"hu","45"
"Al","45"
"hm","45"
"lb","45"
"mo","44"
"Ab","44"
"ba","44"
"Ba","43"
"lo","42"
"rü","41"
"Ho","41"
"Am","40"
"id","40"
"Ki","40"
"So","40"
"od","39"
"lu","39"
"Vo","39"
"Ku","39"
"Mu","38"
"kt","38"
"Mi","38"
"Bi","37"
"ja","37"
"sk","36"
"Mo","36"
"gs","35"
"pe","35"
"ur","35"
"sl","34"
"fi","34"
"ls","33"
"Pa","33"
"Ka","33"
"ro","33"
"dr","33"
"ob","33"
"za","33"
"Li","32"
"To","32"
"Pe","31"
"Ja","31"
"om","31"
"ad","31"
"Sa","31"
"lc","30"
"ku","30"
"jü","30"
"ah","30"
"hö","29"
"ap","29"
"kr","29"
"Ru","28"
"hs","28"
"nf","28"
"pr","28"
"th","28"
"ug","28"
"Se","28"
"bt","27"
"Fe","27"
"wü","26"
"mb","26"
"Hi","26"
"mü","26"
"lg","26"
"Ga","26"
"Sp","26"
"rw","25"
"tw","25"
"pp","25"
"Fa","25"
"üc","25"
"Kl","25"
"Or","25"
"ir","24"
"up","24"
"Pr","24"
"SS","24"
"ub","24"
"dn","23"
"oh","23"
"dl","23"
"fg","22"
"va","22"
"Do","22"
"tg","22"
"io","22"
"Mӓ","22"
"Bu","21"
"nh","21"
"ak","21"
"En","21"
"mt","20"
"ul","20"
"sw","20"
"ib","20"
"Fl","20"
"Je","20"
"nm","20"
"ek","19"
"üh","19"
"of","19"
"dt","19"
"Te","19"
"ju","19"
"Ne","19"
"hä","18"
"kö","18"
"go","18"
"tü","18"
"ow","18"
"po","18"
"Gl","18"
"tä","17"
"if","17"
"sr","17"
"än","16"
"nc","16"
"wä","16"
"Ri","16"
"ce","16"
"ki","16"
"Zi","16"
"pf","16"
"Dr","16"
"tn","16"
"nä","16"
"bu","16"
"Th","16"
"Nu","16"
"nӓ","16"
"hӓ","16"
"sb","15"
"pi","15"
"ds","15"
"Um","15"
"Gh","15"
"oc","15"
"üs","15"
"Eu","15"
"kӧ","15"
"ol","14"
"ln","14"
"ät","14"
"Mä","14"
"hӧ","14"
"mö","13"
"nr","13"
"Zw","13"
"ew","13"
"ik","13"
"No","13"
"sh","13"
"tb","13"
"Lu","13"
"Ob","13"
"zo","13"
"lf","13"
"fl","13"
"Go","13"
"zt","13"
"fä","12"
"gk","12"
"lk","12"
"II","12"
"Bl","12"
"Ni","12"
"Ro","12"
"Uh","12"
"Va","12"
"Ke","12"
"mä","11"
"ün","11"
"nl","11"
"Ch","11"
"Hu","11"
"Fu","11"
"Ra","11"
"nb","11"
"Bü","11"
"ӓn","11"
"Im","11"
"by","11"
"ös","10"
"sf","10"
"aa","10"
"är","10"
"El","10"
"ee","10"
"rv","10"
"äl","10"
"ep","10"
"Lo","10"
"zd","10"
"öf","9"
"hg","9"
"üg","9"
"Üb","9"
"bo","9"
"fs","9"
"ür","9"
"ev","9"
"Qu","9"
"gg","9"
"iu","9"
"wӓ","9"
"mӧ","9"
"ua","9"
"Su","9"
"sd","8"
"Fü","8"
"ov","8"
"zl","8"
"Sy","8"
"pä","8"
"Za","8"
"tf","8"
"rp","8"
"Fo","8"
"xx","8"
"ia","8"
"Pä","8"
"nü","8"
"ph","7"
"äg","7"
"äc","7"
"ui","7"
"kg","7"
"ej","7"
"hü","7"
"Fi","7"
"Tä","7"
"Ue","7"
"iz","7"
"oe","7"
"sz","7"
"og","7"
"gn","7"
"On","7"
"ez","7"
"ms","7"
"ca","7"
"ud","7"
"bs","7"
"tm","7"
"Sm","7"
"fn","6"
"qu","6"
"Tu","6"
"op","6"
"pl","6"
"mp","6"
"Ak","6"
"hk","6"
"lm","6"
"ml","6"
"ӓt","6"
"Ad","6"
"sm","6"
"Ca","6"
"Ti","6"
"rä","5"
"Fä","5"
"nw","5"
"ör","5"
"pu","5"
"ok","5"
"kü","5"
"Pf","5"
"lä","5"
"Bo","5"
"lz","5"
"Wä","5"
"äh","5"
"fh","5"
"Co","5"
"Yo","5"
"Gu","5"
"Mӧ","5"
"zӓ","5"
"Is","5"
"tӧ","5"
"iv","5"
"US","5"
"Wu","5"
"kf","5"
"Ok","5"
"Kü","5"
"bӧ","5"
"Ty","5"
"cz","5"
"ög","4"
"sv","4"
"Ce","4"
"Ex","4"
"oz","4"
"äu","4"
"vö","4"
"pt","4"
"Mö","4"
"Hä","4"
"Rü","4"
"dü","4"
"AU","4"
"uk","4"
"Wӓ","4"
"fӓ","4"
"dh","4"
"lӓ","4"
"zü","4"
"co","4"
"Dy","4"
"As","4"
"zö","4"
"Pl","4"
"öt","4"
"fé","4"
"Os","4"
"tv","3"
"uh","3"
"Oe","3"
"bü","3"
"Ec","3"
"Jo","3"
"jä","3"
"Ae","3"
"ty","3"
"ii","3"
"td","3"
"kn","3"
"Nä","3"
"Of","3"
"mf","3"
"Mk","3"
"Sz","3"
"hz","3"
"ön","3"
"Jü","3"
"gf","3"
"fb","3"
"äs","3"
"Eb","3"
"SC","3"
"Ap","3"
"mn","3"
"Tü","3"
"Hö","3"
"gü","3"
"ӓr","3"
"ps","3"
"bn","3"
"ӧf","3"
"Hӓ","3"
"ӓh","3"
"ӧr","3"
"rӓ","3"
"Et","3"
"fz","3"
"Em","3"
"Ur","3"
"Ph","3"
"dm","3"
"ai","3"
"Jӓ","3"
"ea","3"
"zb","3"
"Kn","3"
"Pu","3"
"té","3"
"XX","3"
"Op","3"
"kh","3"
"ex","3"
"Ev","3"
"Mü","3"
"Sl","3"
"xi","3"
"yl","3"
"zk","2"
"df","2"
"Jä","2"
"ax","2"
"Vö","2"
"Nr","2"
"üm","2"
"XI","2"
"VI","2"
"Rä","2"
"äf","2"
"nj","2"
"Gä","2"
"Ac","2"
"hf","2"
"sü","2"
"wö","2"
"fj","2"
"lv","2"
"IN","2"
"DA","2"
"CH","2"
"cm","2"
"lh","2"
"Gi","2"
"Vä","2"
"nv","2"
"Zü","2"
"Ӓm","2"
"Ӓx","2"
"ӓc","2"
"ӓg","2"
"Ef","2"
"RM","2"
"üt","2"
"Oh","2"
"dd","2"
"kӓ","2"
"üf","2"
"dc","2"
"ӓu","2"
"Gü","2"
"HW","2"
"IT","2"
"KZ","2"
"yp","2"
"az","2"
"It","2"
"tj","2"
"mk","2"
"tö","2"
"zä","2"
"nö","2"
"zh","2"
"sä","2"
"ít","2"
"fk","2"
"gä","1"
"Z1","1"
"öc","1"
"fm","1"
"ks","1"
"RG","1"
"Ös","1"
"LG","1"
"Id","1"
"Ol","1"
"ky","1"
"Bä","1"
"bb","1"
"öd","1"
"Sä","1"
"Km","1"
"Kö","1"
"Ah","1"
"km","1"
"eü","1"
"jo","1"
"JU","1"
"SA","1"
"UJ","1"
"UD","1"
"BI","1"
"HO","1"
"Gy","1"
"gy","1"
"md","1"
"GE","1"
"SP","1"
"EN","1"
"ST","1"
"Sö","1"
"Aa","1"
"lü","1"
"Ci","1"
"Ts","1"
"ӓe","1"
"Lӓ","1"
"Pi","1"
"ӧt","1"
"mz","1"
"ӧu","1"
"Pӓ","1"
"gz","1"
"Nӓ","1"
"ӓs","1"
"oi","1"
"ӓd","1"
"Kӧ","1"
"tӓ","1"
"xe","1"
"dӓ","1"
"ӓa","1"
"wӧ","1"
"Zo","1"
"ӧl","1"
"ӓf","1"
"Tӧ","1"
"Ӓu","1"
"tc","1"
"mg","1"
"Fӓ","1"
"ӧd","1"
"3m","1"
"db","1"
"TE","1"
"PA","1"
"RK","1"
"gh","1"
"nq","1"
"lp","1"
"Af","1"
"np","1"
"Cr","1"
"lj","1"
"fw","1"
"zn","1"
"SE","1"
"RT","1"
"FO","1"
"bf","1"
"cr","1"
"ct","1"
"oa","1"
"Hü","1"
"rj","1"
"dg","1"
"ip","1"
"Nü","1"
"Dü","1"
"Sr","1"
"ou","1"
"lí","1"
"tp","1"
"Cz","1"
"kä","1"
"zv","1"
"aw","1"
"zs","1"
"sy","1"
"cs","1"
"ye","1"
"Än","1"
"gê","1"
"dê","1"
"gw","1"
"Já","1"
"št","1"
"má","1"
"Kc","1"
"Až","1"
"vr","1"
"át","1"
"mů","1"
"že","1"
"př","1"
"ij","1"
"Gn","1"
"sn","1"
"Lä","1"
"Wü","1"
"lö","1"
"Il","1"
"ül","1"
"üp","1"
"hb","1"
"uu","1"
"üß","1"